char,kDefinition
医,"cure, heal; doctor, medical"
匹,bolt of cloth; counter for horses
北,north; northern; northward
匕,"spoon, ladle; knife, dirk"
匐,fall prostrate; crawl
匆,"hastily, in haste, hurriedly"
包,"wrap, pack, bundle; package"
决,"decide, determine, judge"
假,"falsehood, deception; vacation"
停,"stop, suspend, delay; suitable"
做,"work, make; act"
偕,together; be in order
偏,inclined one side; slanting
偈,brave; martial; hasty; scudding
偃,"cease, lay off, lay down"
倨,"arrogant, haughty, rude"
倣,imitate
借,borrow; lend; make pretext of
健,"strong, robust, healthy; strength"
偰,"an ancestor of the Shāng emperors, said to be one of Shùn’s ministers"
偲,talented; urgent
偷,"to steal, burglar, thief"
傾,"upset, pour out, overflow"
傷,"wound, injury; fall ill from"
債,"debt, loan, liabilities"
備,"prepare, ready, perfect"
傖,"vulgar person, country man"
傑,"hero; outstanding, remarkable"
傅,"tutor, teacher; assist; surname"
偽,"false, counterfeit, bogus"
侗,"big; ignorant; rude, rustic"
侔,equal
侑,"help, assist, repay kindness"
倉,granary; berth; sea
倂,combine
俻,to prepare; to provide; to put in order; to complete perfection; completeness
俳,actor; vaudeville show; insincere
俯,"bow down, face down, look down"
信,"trust, believe; letter"
俟,"wait for, wait until, as soon as"
俗,"social customs; vulgar, unrefined"
便,"convenience, ease; expedient"
兴,"thrive, prosper, flourish"
兼,"unite, combine; connect; and"
冨,"abundant, ample; rich, wealthy"
冝,"suitable, right, fitting, proper"
冏,"(archaic form of 炯) light, bright"
再,"again, twice, re-"
兾,(same as 冀) to hope for; to wish
優,"superior, excellent; actor"
兄,elder brother
儘,utmost
儔,"companion, mate, colleague"
儒,Confucian scholar
儆,warn; warning
僣,"assume, usurp"
僞,"false, counterfeit, bogus"
僚,"companion, colleague; officials; bureaucracy; a pretty face"
僖,"joy, gladness, delight; surname"
僕,"slave, servant, I"
克,gram; overcome; transliteration
兩,"two, both, pair, couple; ounce"
全,"maintain, keep whole or intact"
兗,establish; one of nine empire divisions
兕,a female rhinoceros
兒,"son, child, oneself; final part"
木,"tree; wood, lumber; wooden"
朘,"wane, reduce, contract; exploit"
期,period of time; date; time limit
材,"material, stuff; timber; talent"
杆,pole; shaft of spear
杀,"kill, slaughter, murder; hurt"
朗,"clear, bright; distinct"
来,"come, coming; return, returning"
曲,"crooked, bent; wrong, false"
書,"book, letter, document; writings"
曝,"sun, air in sun, expose or dry in the sun"
曄,bright; radiant; thriving
暦,"calendar, era"
曾,already; sign of past
朔,first day of lunar month; the north
服,"clothes; wear, dress"
月,moon; month; Kangxi radical 74
桎,"fetters, shackles, handcuffs"
梭,weaver's shuttle; go to and fro
梠,a small beam supporting the rafters at the eaves
梅,plums; prunes; surname
桑,mulberry tree; surname
桉,eucalyptus
柵,fence; palisade; grid
桃,peach; marriage; surname
桂,cassia or cinnamon
栽,"to cultivate, plant; to care for plants"
根,"root, base(d on); foundation"
株,numerary adjunct for trees; root
栢,"cypress, cedar"
校,school; military field officer
梯,"ladder, steps, stairs; lean"
梹,the areca-nut; the betel-nut
椲,"(simplified form of 椲) a kind of wood (used as a kind of material to make basin and bowl, etc.); (same as 楎) a peg for hanging things on, a clothes-horse"
椰,"palm tree, coconut palm"
椒,"pepper, spices"
棱,"squared timber; angle, edge"
栒,cross bar
柴,"firewood, faggots, fuel"
枝,"branches, limbs; branch off"
枚,"stalk of shrub, trunk of tree"
枋,sandalwood; tree used as timber
枉,"useless, in vain; bent, crooked"
板,"plank, board; iron or tin plate"
杷,loquat
杵,pestle; baton used beat clothes
東,"east, eastern, eastward"
枵,"hollow stump of a tree; empty, thin"
柱,"pillar, post; support; lean on"
查,"investigate, examine, seek into"
柞,oak; spinous evergreen tree; to clear away trees
柝,watchman's rattle
柘,a thorny tree; sugarcane
某,certain thing or person
柄,"handle, lever, knob; authority"
柂,helm
枹,drumstick
枸,kind of aspen found in Sichuan
暝,"dark, obscure"
新,"new, recent, fresh, modern"
斯,"this, thus, such; to lop off; emphatic particle"
斫,"cut, chop, lop off"
敵,"enemy, foe, rival; resist"
斜,"slanting, sloping, inclined"
斛,dry measure equal to some five or ten dou (see 舒)
斗,"a dipper; unit of volume (ten 升 or litres); Kangxi radical 68; 8th lunar mansion, determinative star φ Sagittarii"
斕,multicolored
斑,"mottled, striped, freckle"
斉,"even, uniform, of equal length"
斵,to cut to pieces; to hack; to chop or hew; to carve for ornaments
旅,"trip, journey; travel; traveler; hexagram ䷷"
旃,silk banner with bent pole
旁,"side; by side, close by, near"
於,"in, at, on; interjection alas!"
斷,"sever, cut off; interrupt"
旌,banner or flag adorned with feathers; to signal
攻,"attack, assault; criticize"
攷,"examine, test; investigate"
敎,teach
敏,"fast, quick, clever, smart"
救,"save, rescue, relieve; help, aid"
敦,"esteem; honest, candid, sincere"
敢,"to dare, venture; bold, brave"
敘,"express, state, relate, narrate"
旋,"revolve, move in orbit; return"
昺,"bright, glorious; brilliant"
昼,"daytime, daylight"
昻,rise
昵,"intimate, close; approach"
昱,"bright light, sunlight; dazzling"
昨,"yesterday; in former times, past"
暑,hot
暎,sun beginning decline; reflect
暍,sunstroke
暄,"warm, comfortable; warm, genial"
晷,shadows of sun; time; sundial
旦,dawn; morning; day
易,change; easy
无,"negative, no, not; Kangxi radical 71"
旛,"a pennant, a banner"
旗,"banner, flag, streamer"
旧,"old, ancient; former, past"
昏,"dusk, nightfall, twilight, dark"
昌,"light of sun; good, proper"
昆,elder brother; descendants
浸,"soak, immerse, dip, percolate"
涯,"shore, bank, water's edge"
涙,tears; weep
涖,river in Hebei province; creek
涉,"ford stream, wade across"
涅,"blacken; black mud, slime"
浴,"bathe, wash; bath"
浩,"great, numerous, vast, abundant"
涵,"soak, wet; tolerate, be lenient"
涸,"dried up; exhausted, tired; dry"
淨,"pure, clean, unspoiled"
淦,river in Jiangxi province; water leaking into a boat
淡,"weak, watery; insipid, tasteless"
淜,roar of dashing waves
淘,wash in a sieve; weed out
淖,slush; mud
淑,"good, pure, virtuous, charming"
涿,"drip, dribble, trickle"
浅,"shallow, not deep; superficial"
泥,"mud, mire; earth, clay; plaster"
泣,"cry, sob, weep"
泗,mucous; nasal flow; sniffle; river in Shandong
浄,"pure, clean, unspoiled"
泄,leak; vent; flow; reveal
沽,buy and sell; inferior in quality
治,"govern, regulate, administer"
油,"oil, fat, grease, lard; paints"
河,river; stream; the Yellow River
洽,"to blend with, be in harmony; to penetrate; to cover; a river in Shenxi"
洲,continent; island; islet
洩,"leak, drip; vent or release"
津,ferry; saliva; ford
洟,"snivel, mucus from nose"
洗,"wash, rinse; clean, purify"
洎,until; till; soup; to soak
泽,"marsh, swamp; grace, brilliance"
泻,"drain off, leak; flow, pour down"
泰,"great, exalted, superior; big; hexagram ䷊"
添,"append, add to; increase"
潘,surname; water in which rice has been rinsed; a river that flows into the Han
濁,"muddy, turbid, dirty, filthy"
激,"arouse, excite, incite; quickly"
澑,"slide, glide, slip; slippery"
澆,"spray, water, sprinkle"
潮,"tide; moist, wet, damp; flow"
滬,Shanghai; river near Shanghai
潔,"clean, purify, pure"
漭,vast; expansive
漏,"leak, drip; funnel; hour glass"
漆,"varnish, lacquer, paint"
滯,"block up, obstruct; stagnant"
濃,"thick, strong, concentrated"
炙,"roast, broil; toast; cauterize"
炕,the brick-bed in northern China
炒,"fry, saute, roast, boil, cook"
炅,brilliance
灾,"calamity, disaster, catastrophe"
灶,"kitchen stove, cooking stove"
灵,"spirit, soul; spiritual world"
灰,"ashes; dust; lime, mortar"
灯,"lantern, lamp"
火,"fire, flame; burn; anger, rage"
灌,"pour; water; irrigate, flood"
瀝,"trickle, drip; strain; dregs"
濼,river in Shandong province
濺,"sprinkle, spray; spill, splash"
濤,large waves
濡,"immerse, moisten; wet, damp"
渴,"thirsty, parched; yearn, pine"
港,"port, harbor; small stream; bay"
温,lukewarm
渥,"moisten, soak; great, deep; dye; to enrich"
渣,"refuse, dregs, lees, sediment"
渡,"cross, ferry over; ferry"
渠,"ditch, canal, channel, gutter"
渊,"surge up, bubble up, gush forth"
渉,ford stream
滚,turn
滅,"extinguish; wipe out, exterminate"
溽,"moist, humid, muggy"
溺,drown; submerge in water; indulge
溷,"privy, latrine; turbid, dirty"
溱,river in Henan
溪,"mountain stream, creek"
溢,"overflow, brim over; full"
溜,"slide, glide, slip; slippery"
溘,"abruptly, suddenly, unexpectedly"
源,"spring; source, head; surname"
湿,"wet, moist, humid, damp; illness"
湼,black mud; slime
湲,flow
湮,"bury, sink, block up; stain"
湟,river in Qinghai province
湛,"deep; profound; clear; tranquil, placid"
欿,discontented; sad; gloomy
歙,to suck; a county's name in anhui
歐,"used in transliterating non-Chinese words such as Europe, ohm; surname"
欠,"owe, lack, be deficient; Kangxi radical 76"
欽,"respect, admire; respectful"
欺,"cheat, double-cross, deceive"
欹,fierce dog; interjection of pleas; (Cant.) strange
欣,"happy, joyous, delighted"
歛,"draw back, fold back; collect"
歟,"a final particle used to express admiration, doubt, surprise, or to mark a question"
歡,"happy, pleased, glad; joy; to enjoy"
歸,"return; return to, revert to"
歲,year; age; harvest
步,"step, pace; walk, stroll"
櫪,type of oak; stable
概,"generally, approximately"
槃,"tray; turn, rotate; search"
榼,wine glass
榮,"glory, honor; flourish, prosper"
榔,betel-nut tree
楼,building of two or more stories
櫛,"comb out; weed out, eliminate"
業,"profession, business, trade"
櫃,"cupboard, wardrobe, counter"
檻,"threshold, door-sill"
檜,"Chinese cypress, Chinese juniper"
機,"machine; moment, chance"
橊,(variant of 榴) pomegranate
橈,bent or twisted piece of wood; a paddle
樽,"goblet; jar, jug; lush"
樻,"cupboard, wardrobe, counter"
樹,"tree; plant; set up, establish"
樓,building of two or more stories
槳,"oar, paddle"
様,"shape, form, pattern, style"
求,"seek; demand, request; beseech"
汀,"sandbar, beach, bank, shore"
永,"long, perpetual, eternal, forever"
氣,"air, gas, steam, vapor; spirit"
気,"air, gas, steam, vapor; spirit"
氓,people; subjects; vassals
汙,"filthy, dirty, impure, polluted"
汚,"filthy, dirty, impure, polluted"
沛,"abundant, full, copious; sudden"
沙,"sand, gravel, pebbles; granulated"
沒,"not, have not, none; to drown, sink"
沉,"sink, submerge; addicted to"
沅,name of a river in western Hunan that flows into Dongting lake
汶,a river in Shandong province
汲,draw water from well; imbibe
汪,"vast, extensive, deep; surname"
江,large river; the Yangzi; surname
汝,you
氊,"felt; coarse fabrics use for rugs, carpets, wrappers etc."
殂,to die
殷,"many, great; abundant, flourishing"
毋,do not; not; surname; rad. 80
殼,"casing, shell, husk, hull, skin"
殻,"casing, shell, husk, hull, skin"
殺,"kill, slaughter, murder; hurt; to pare off, reduce, clip"
殹,an echo
段,"section, piece, division"
殳,name of old weapon; kill; rad. 79
殮,dress corpse for burial
殚,"utmost, entirely, quite; use up"
殗,sickness; repeated
殉,"die for cause, be martyr for"
毎,every
毬,"ball, anything round, sphere"
毛,"hair, fur, feathers; coarse"
比,"to compare, liken; comparison; than; hexagram ䷇"
庠,village school; teach
庚,7th heavenly stem
廒,a granary
廐,stable; barnyard
廌,unicorn
廉,"upright, honorable, honest"
庭,courtyard; spacious hall or yard
廕,"shade; protect, shade, cover"
幽,"quiet, secluded, tranquil; dark"
幻,"illusion, fantasy, mirage"
幹,trunk of tree or of human body
幷,combine
幰,curtain at front of carriage
床,"bed, couch; framework, chassis"
廓,"broad, wide, open, empty; to expand"
廟,"temple, shrine; imperial court"
徐,"slowly, quietly, calmly; composed, dignified"
律,"statute, principle, regulation"
彝,"Yi (nationality); tripod, wine vessel; rule"
徊,"linger, walk to and fro, hesitate"
征,"invade, attack, conquer"
往,"go, depart; past, formerly"
役,"service; a servant, laborer; to serve"
影,"shadow; image, reflection; photograph"
彦,elegant
形,"form, shape, appearance"
徵,"summon, recruit; musical note"
徳,virtue; ethics
微,"small, prefix micro-, trifling"
復,return; repeat; repeatedly; hexagram ䷗
御,"drive, ride; chariot; manage"
徙,"move one's abode, shift, migrate"
弋,"catch, arrest; shoot with bow"
弊,"evil, wrong, bad; criminal"
弆,to collect
异,"different, unusual, strange"
彚,"collect, compile, assemble; hedgehog"
延,"delay, postpone, defer"
廣,"broad, wide, extensive"
廢,"abrogate, terminate, discard"
弝,the part of a bow grasped when shooting
彗,broomstick; comet
归,"return; return to, revert to"
彌,"extensive, full; fill; complete"
弱,"weak; fragile, delicate"
弭,"stop, desist, end, quell"
德,"ethics, morality, virtue"
屡,"frequently, often, again and again"
属,"class, category, type; belong to"
展,"open, unfold; stretch, extend"
屐,"wooden shoes, clogs"
屋,"house; room; building, shelter"
屈,"bend, flex; bent, crooked; crouch"
屆,"numerary adjunct for time, term"
層,"story, layer, floor, stratum"
專,"monopolize, take sole possession"
尊,"respect, revere, venerate; honor"
尉,"officer, military rank"
専,"monopolize, take sole possession"
導,"direct, guide, lead, conduct"
尹,govern; oversee; director
尭,a legendary ancient emperor-sage
尨,shaggy haired dog; variegated
尤,"especially, particularly"
尔,"you; that, those; final particle"
巷,"alley, lane"
师,"teacher, master, specialist"
帆,sail; boat
帑,a treasury; public funds
帖,invitation card; notice
帳,"tent; screen, mosquito net"
帰,"return; return to, revert to"
帮,"help, assist; defend; shoe upper"
席,seat; mat; take seat; banquet
带,"belt, girdle, band, strap, zone"
帥,"commander, commander-in-chief"
岳,mountain peak; surname
岱,"Daishan, one of the Five Sacred Mountains in China"
岢,a county in Shānxī
岐,high; majestic; fork in road
屿,island
屹,to rise high; to stand erect
屯,"village, hamlet; camp; station; hexagram ䷂"
屨,straw sandals; tread on
屧,"wooden shoes, clogs"
岷,"Minshan mountain range in northern Sichuan and southern Gansu, Min River"
岸,"bank, shore; beach, coast"
峻,"high, steep, towering; stern"
巫,"wizard, sorcerer, witch, shaman"
川,"stream, river; flow; boil"
巖,"cliff, precipice; cave, grotto"
嶽,"mountain peak, summit"
嶺,"mountain ridge, mountain peak"
嶠,high pointed mountain
嶂,cliff; mountain barrier
嵎,mountain recess; canyon
嵌,"inlay, set in; fall into; rugged"
拇,thumb; big toe
拜,"do obeisance, bow, kowtow"
拘,"restrain, seize, detain"
拓,expand; open up; support or push
拏,"take; bring; grasp, hold; arrest"
拌,mix
拉,"pull, drag; seize, hold; lengthen"
拈,pick up with fingers; draw lots
拆,"to break up, split apart, rip open; to destroy"
抗,"resist, oppose, defy, reject"
拂,"shake off, brush away; dust"
抽,"draw out, pull out; sprout"
押,"mortgage, pledge; deposit; to pawn; to arrest, detain, guard"
抵,"resist, oppose; deny; off-set"
抝,"to bend, break; to argue"
抛,throw (away)
抚,"pat, console, comfort; pacify"
折,"break off, snap; bend"
捉,"grasp, clutch; catch, seize"
挺,"to stand upright, straighten; rigid"
振,"raise, excite, arouse action"
挫,push down; chop down; grind
挐,drag
挈,"assist, help, lead by hand"
持,"sustain, support; hold, grasp"
拽,"drag, tow; throw; twist"
拷,torture and interrogate; hit
拳,fist; various forms of boxing
拱,"fold hands on breast; bow, salute"
括,"include, embrace, enclose"
择,"select, choose, pick out"
拠,"to occupy, take possession of; a base, position"
捏,pick with fingers; knead; mold
扒,scratch; dig up; crawl; crouch
扎,pull up; pierce; struggle free
扈,"escort, retinue; insolent"
扁,"flat; tablet, signboard"
托,"to hold up with palm; to support, rely on"
扦,"probe, poke, prick, pierce"
技,"skill, ability, talent, ingenuity"
承,"inherit, receive; succeed"
扼,"grasp, clutch; choke, strangle"
扶,"support, help; protect; hold on"
捋,to pluck; to gather in the fingers; to rub; to scrape off
戾,"perverse, recalcitrant, rebellious"
播,"sow, spread; broadcast; cast away, reject"
擠,"crowd, squeeze, push against"
擔,"carry, bear, undertake"
操,"conduct, run, control, manage"
擇,"select, choose, pick out"
撿,to pick up
撼,"move, shake; (Cant.) to fight"
撲,"pound, beat, strike; attack"
撰,"compose, write, compile"
摶,roll around with hand; model
撫,"pat, console, comfort; pacify"
撝,"wave, brandish; modest, humble"
撑,"prop up, support; brace"
擬,"draft; intend, plan, propose"
攢,"save, hoard"
攝,"take in, absorb; act as deputy; administer, assist"
擿,"to select, to pick out from, to discard"
擾,"disturb, annoy, agitate"
摺,"fold, bend; twisted, curved"
摩,"rub, scour, grind; friction"
据,"to occupy, take possession of; a base, position"
掀,"lift, raise; stir"
捿,perch; roost; stay
捺,to press down heavily with the fingers
捷,"win, victory, triumph"
捭,to open; to spread out
捨,"discard, give up willingly; give alms"
掉,"turn, move; shake, wag; drop down"
掌,"palm of hand, sole of foot, paw"
摧,"destroy, break, injure"
携,"lead by hand, take with; carry"
搴,extract; seize; pluck up
搬,"transfer, move, remove, shift"
搓,to rub or roll between the hands
揵,carry
援,"aid, assist; lead; cite"
揜,"cover up; take by force, shut"
揚,"scatter, spread; praise"
掲,"to set (a table); to install, equip; to lay (a foundation)"
採,"gather, collect; pick, select"
掖,"support with the arms; stick in, tuck in; fold up"
恠,"strange, unusual, peculiar"
恥,"shame, humiliation; ashamed"
恙,"illness, sickness; indisposition"
恕,"forgive, excuse, show mercy"
恒,"constant, regular, persistent"
恐,"fear; fearful, apprehensive"
恍,seemingly; absent-minded
恃,"rely on, presume on, trust to"
悵,"disappointed, dissatisfied"
悲,"sorrow, grief; sorry, sad"
患,"suffer, worry about; suffering"
悛,"repent, reform"
悉,"know, learn about, comprehend"
恵,"favor, benefit, confer kindness"
恪,"respectful, reverent"
怿,"enjoy, be glad, be pleased"
怪,"strange, unusual, peculiar"
怨,"hatred, enmity, resentment"
性,"nature, character, sex"
急,"quick, quickly; urgent, pressing"
怊,"sad, disappointed"
念,"think of, recall, study"
忮,stubborn; perverse; aggressive
忠,"loyalty, devotion, fidelity"
忙,"busy, pressed for time; hustling"
懷,"bosom, breast; carry in bosom"
成,"completed, finished, fixed"
戎,"arms, armaments; military affair"
戍,"defend borders, guard frontiers"
戌,eleventh earthly branch
戊,5th heavenly stem
懿,"virtuous, admirable, esteemed"
懼,"fear, be afraid of, dread"
懶,"lazy, languid, listless"
慷,"ardent; generous, magnanimous"
懲,"punish, reprimand; warn"
懦,"weak, timid, cowardly"
懐,"bosom, breast; carry in bosom"
懍,"be afraid of, be awed by, be in awe"
懋,"splendid, grand, majestic"
憶,"remember, reflect upon; memory"
憲,"constitution, statute, law"
憨,"foolish, silly, coquettish"
戬,"exterminate, destroy; blessing"
截,"cut off, stop, obstruct, intersect"
或,"or, either, else; perhaps, maybe"
悸,"fearful, apprehensive, perturbed"
想,"think, speculate, plan, consider"
慶,"congratulate, celebrate"
惡,"evil, wicked, bad, foul"
惟,"but, however, nevertheless; only"
惓,"careful, sincere, candid"
情,"feeling, sentiment, emotion"
愒,"rest, stop"
愚,"stupid, doltish, foolish"
慮,"be concerned, worry about"
慧,"bright, intelligent; intelligence"
慢,"slow(ly), leisurely, sluggish"
慕,"long for, desire; admire"
慌,"nervous, panicky, frantic"
愿,"sincere, honest, virtuous"
愴,"sad, broken-hearted, disconsolate"
感,"feel, perceive, emotion"
愜,"be satisfied, be comfortable"
𰬈,string on musical instrument
