char,kDefinition
妨,"interfere with, impede, obstruct"
委,"appoint, send, commission"
莫,"do not, is not, can not; negative"
吾,"i, my, our; resist, impede"
莊,"village, hamlet; villa; surname"
取,"take, receive, obtain; select"
只,"only, just, simply"
聘,"engage, employ; betroth"
叚,false
当,"bear, accept, undertake; just"
变,"change, transform, alter; rebel"
銕,"iron; strong, solid, firm"
发,"issue, dispatch, send out; hair"
翹,"turn up, lift, elevate, raise"
魯,"foolish, stupid, rash; vulgar"
群,"group, crowd, multitude, mob"
右,right; west; right-wing
荒,"wasteland, desert; uncultivated"
吠,bark
崐,Kunlun mountains in Jiangsu
都,"metropolis, capital; all, the whole; elegant, refined"
崤,mountain in Henan
吮,"suck with mouth, sip, lick"
吪,move
左,"left; east; unorthodox, improper"
号,"mark, sign; symbol; number"
他,"other, another; he, she, it"
巳,sixth earthly branch
芦,"rushes, reeds"
同,"same, similar; together with"
吊,"condole, mourn, pity; hang"
胡,"recklessly, foolishly; wildly"
由,"cause, reason; from"
㑹,"(non-classical of 會) to meet; to assemble, to co-operate, a society; a guild; an association"
牡,male of animals; bolt of door
漢,"the Chinese people, Chinese language"
併,"combine, annex"
漙,dewy
鳥,bird; Kangxi radical 196
樞,door hinge; pivot; center of power
犎,"the zebu, or humped-ox"
麩,bran
泠,"nice and cool, mild and comfortable"
活,"live, exist, survive; lively"
歩,step
歌,"song, lyrics; sing, chant; praise"
侣,companion; associate with
淒,"bitter cold, miserable, dreary"
係,"bind, tie up; involve, relation"
瑟,"large stringed musical instrument; dignified, massive; sound of wind"
正,"right, proper, correct"
麾,"a pennant, flag, banner; to signal to"
毒,"poison, venom; poisonous"
錦,"brocade, tapestry; embroidered"
勁,"strong, unyielding, tough, powerful"
离,rare beast; strange; elegant
句,sentence
銜,"bit; hold in mouth, bite; gag"
聶,whisper; surname
口,"mouth; open end; entrance, gate"
弹,"pellet, bullet, shot, shell"
化,"change, convert, reform; -ize"
俘,prisoner of war; take as prisoner
秦,feudal state of Qin; the Qin dynasty (from which the name 'China' comes)
者,that which; he who; those who
循,"obey, comply with, follow"
義,"right conduct, righteousness"
法,"law, rule, regulation, statute; France, French"
𢙢,to fear
流,"flow, circulate, drift; class"
羙,beautiful
脉,"blood vessels, veins, arteries"
庇,"cover, shield, shelter, protect"
应,"should, ought to, must"
举,"raise, lift up; recommend"
福,"happiness, good fortune, blessing"
庙,"temple, shrine; imperial court"
腮,lower part of face; jaw; gills of a fish
脫,"take off, peel off, strip"
廻,circle around; return; curving
合,"combine, unite, join; gather"
康,"peaceful, quiet; happy, healthy"
廵,to go on circuit; to cruise to patrol
零,"zero; fragment, fraction"
