verse_no	luc_bat	qn_verse	nom_text
2388	6	Trước là Bạc Hạnh Bạc bà,	畧󰑼泊倖泊󰜏
2389	8	Bên là Ưng Khuyển bên là Sở Khanh.	边󰑼鷹犬边󰑼楚卿
2390	6	Tú bà CÙNG Mã Giám sinh,	秀󰜏拱馬监生
2391	8	CÁC tên tội ấy đáng tình còn sao?	各𠸜罪󰀎登情群牢
2392	6	Lệnh quân truyền xuống nội đao,	令軍传𫴋内力
2393	8	Thề sao thì lại cứ sao gia hình.	誓牢時吏拠牢加刑
2394	6	Máu rơi thịt nát tan tành,	𧖱淶𦧘󰞺散情
2395	8	Ai ai trông thấy hồn kinh phách rời.	埃埃𬂙体魂󰟹魄涞
2396	6	Cho hay muôn sự tại trời,	朱台𬮙事在𡗶
2397	8	Phụ người chẳng bỏ khi người phụ ta.	負㝵拯補欺㝵負些
2398	6	Mấy người bạc ác tinh ma,	󰋇㝵萡惡精魔
2399	8	Mình làm mình chịu kêu mà ai thương!	𠇮爫𠇮𠹾呌麻埃傷
2400	6	Ba quân đông mặt pháp trường.	𠀧軍冬󰘚法場
2401	8	Thanh thiên bạch nhật rõ ràng cho coi.	青天白日𤑟𤉜朱𫀢
2402	6	Việc nàng báo phục vừa rồi,	𭛣娘报復皮耒
2403	8	Giác Duyên vội đã gởi lời từ qui.	𮗓緣倍㐌𠳚𠳒辞󰆕
2404	6	"Nàng rằng: ""Thiên tải nhất thì,"	娘浪千載壹時
2405	8	"""Cố nhân đã dễ mấy khi bàn hoàn."	故人㐌易󰋇欺盘桓
2406	6	"""Rồi đây bèo hợp mây tan,"	耒低䕯合迷散
2407	8	“Biết đâu hạc nội mây NHÀN là đâu.	別󰠲䳽内𫡮𫔮󰑼󰠲
2408	6	Sư rằng: “Cũng chẳng MẤY lâu,	師浪拱拯󰋇𥹰
2409	8	"""Trong năm năm lại gặp nhau đó mà."	冲𠄼𢆥吏及燒妬麻
2410	6	"""Nhớ ngày hành cước phương xa,"	汝𣈜行脚方賒
2411	8	"""Gặp sư Tam hợp vốn là tiên tri."	及師三合本󰑼先知
2412	6	"""Bảo cho hội hợp chi kỳ,"	保朱会合之期
2413	8	"""Năm nay là một nữa thì năm năm."	𢆥󰅒󰑼𠬠女時𠄼𢆥
2414	6	"""Mới hay tiền định chẳng lầm,"	買咍前定󰝸啉
2415	8	"""Đã tin điều trước ắt nhằm việc sau."	㐌信調畧乙𥄮𭛣娄
2416	6	"""Còn nhiều ân ái với nhau,"	群𡗉恩爱貝饒
2417	8	"""Cơ duyên nào đã hết đâu vội gì!"""	机緣芇㐌歇󰠲倍之
2418	6	"Nàng rằng: ""Tiền định tiên tri,"	娘浪前定先知
2419	8	"""Lời sư đã dạy ắt thì chẳng sai."	𠳒師㐌𠰺乙時庄差
2420	6	"""Hoạ bao giờ có gặp người,"	禍包徐󰡏及㝵
2421	8	"""Vì tôi cậy hỏi một lời chung thân."""	爲碎𢚁𠳨𠬠𠳒終身
2422	6	Giác Duyên vâng dặn ân cần,	𮗓緣𠳐引慇懃
2423	8	Tạ từ thoắt đã dời chân cõi ngoài.	謝辞脱㐌移蹎𡎝外
2424	6	Nàng từ ân oán rạch ròi,	娘自恩怨𫼢𢬗
2425	8	SÁT oan dường đã vơi vơi GÓC lòng.	殺寃󰟯㐌潙潙𮗓𢚸
2426	6	Tạ ơn lạy trước Từ công:	謝恩𥛉畧徐公
2427	8	“ CHÚT thân bồ liễu nào mong có rày!	拙身蒲柳芇蒙󰡏𣈙
2428	6	"""Trộm nhờ sấm sét ra tay,"	濫洳𩆐𩂶𦋦𢬣
2429	8	"""Tấc riêng như cất gánh đầy đổ đi,"	𡬷貞如拮梗苔覩𠫾
2430	6	"""Chạm xương chép dạ xiết chi,"	𪮻昌劄胣掣之
2431	8	"""Dễ đem gan óc đền nghì trời mây!"""	易󰝡肝腛填󰀩𡗶𫡮
2432	6	"Từ rằng: ""Quốc sĩ xưa nay,"	徐浪国士㧅󰅒
2433	8	"""Chọn người tri kỷ một ngày được chăng?"	𪮙㝵知己𠬠𣈜特庒
2434	6	"""Anh hùng tiếng đã gọi rằng,"	𮎦䧺㗂㐌哙浪
2435	8	"""Giữa đường dẫu thấy bất bằng mà tha!"	𡨌塘酉体不平麻他
2436	6	"""Huống chi việc cũng việc nhà,"	况之𭛣拱𭛣茹
2437	8	"""Lọ là thâm tạ với là tri ân."	路󰑼深謝買󰑼知恩
2438	6	"""Xót nàng còn chút song thân,"	㤕娘群𡮍双親
2439	8	“ BÂY nay kẻ Việt người Tần cách xa.	悲󰅒几越㝵秦隔賒
2440	8	“ SAO cho muôn dặm một nhà,	牢朱𬮙埮𠬠茹
2441	8	"""Cho người thấy mặt là ta cam lòng."""	朱㝵体󰘚󰑼些甘𢚸
2442	6	Vội truyền sửa tiệc quân trung,	倍傳所席軍中
2443	8	Muôn binh nghìn tướng hội đồng tẩy oan.	𬮙兵𠦳將会同洗寃
2444	6	Thừa cơ trúc chẻ ngói tan,	乘机竹扯󰏓散
2445	8	Binh uy từ ấy sấm ran trong ngoài.	兵威自意𩆐灡𥪝外
2446	6	Triều đình riêng một góc trời,	朝庭貞𠬠谷𡗶
2447	8	Gồm hai văn võ rạch đôi sơn hà.	𫡂𠄩文武𫼢堆山何
2448	6	Đòi cơn gió quét mưa sa,	隊干󰊄撅湄沙
2449	8	Huyện thành đạp đổ năm toà cõi Nam.	縣城踏覩𢆥座𡎝南
2450	6	Phong trần mài một lưỡi gươm,	風塵𥕄𠬠𥚇鎌
2451	8	Những loài giá áo túi cơm sá gì.	仍類架襖襊粓詫之
2452	6	Nghênh ngang một cõi biên thuỳ,	迎昂𠬠𡎝边陲
2453	8	THIẾU gì cô quả THIẾU gì bá vương!	少之孤寡少之𬡹王
2454	6	Trước cờ ai dám tranh cường,	畧旗埃敢争強
2455	8	Năm năm hùng cứ một phương hải tần.	𠄼𢆥䧺拠𠬠方海瀕
2456	6	Có quan tổng đốc trọng thần,	󰡏官總督重臣
2457	8	Là Hồ Tôn Hiến kinh luân gồm tài.	󰑼胡宗憲經綸𫡂才
2458	6	DẪY xe vâng chỉ đặc sai,	𢩽車𠳐旨特差
2459	8	Tiện nghi bát tiễu việc ngoài đổng nhung.	便宜八勦𭛣外董戈
2460	6	Biết Từ là đấng anh hùng,	別徐󰑼𨅸𮎦䧺
2461	8	Biết nàng cũng dự quân trung luận bàn.	別娘拱預軍中論盘
2462	6	Đóng quân làm chước CHIÊU an,	㨂軍爫斫招安
2463	8	Ngọc vàng gấm vóc sai quan thuyết hàng.	玉鐄錦󰑀差官説降
2464	6	Lại riêng một LỄ với nàng,	吏貞𠬠礼貝娘
2465	8	Hai tên thể nữ ngọc vàng nghìn cân.	𠄩𠸜彩女玉鐄𠦳斤
2466	6	Tin vào gửi trước trung quân,	信𠓨㗇畧中軍
2467	8	Từ công riêng NGHĨ mười phân hồ đồ.	徐公貞𪟽𨑮分糊塗
2468	6	Một tay gây dựng cơ đồ,	𠬠𢬣𨠳鄧基圖
2469	8	Bây lâu bể Sở sông Ngô tung hoành.	碑𥹰𣷭楚滝吳縱横
2470	6	Bó thân về với triều đình,	抪身󰡲貝朝庭
2471	8	Hàng thần lơ láo phận mình ra đâu?	降臣盧老分𠇮𦋦󰠳
2472	6	Áo xiêm buộc trói lấy nhau,	襖襜纀𬗔𥙩饒
2473	8	Vào luồn ra cúi công hầu mà chi?	𠓨倫𦋦󱖺公候麻之
2474	6	Sao bằng riêng một biên thuỳ,	牢朋貞𠬠边陲
2475	8	Sức này đã dễ làm gì được nhau!	飭尼㐌易爫之特饒
2476	6	Chọc trời quấy nước mặc dầu,	濁𡗶𢭴渃默油
2477	8	Dọc ngang nào biết trên đầu có ai!	育昂芇別𨕭頭󰡏埃
2478	6	Nàng thì thật dạ tin người,	娘時实胣信㝵
2479	8	Lễ nhiều nói ngọt nghe lời dễ xiêu.	礼𡗉呐𠮾𦖑𠳒易󰖫
2480	6	THÌ mình mặt nước cánh bèo,	時𠇮𩈘渃𦑃䕯
2481	8	Đã nhiều lưu lạc ĐÃ nhiều gian truân.	㐌𡗉流落㐌𡗉󰠡屯
2482	6	Bằng nay chịu tiếng vương thần.	平󰅒𠹾㗂王臣
2483	8	Thênh thênh đường cái thanh vân hẹp gì!	青青塘丐青雲俠之
2484	6	Công tư vẹn cả hai bề,	公私院奇𠄩皮
2485	8	Dần dà rồi sẽ liệu về cố hương.	寅夜耒仕料󰡲故鄕
2486	6	Cũng ngôi mệnh phụ đường đường,	拱𡾵𠇮婦堂堂
2487	8	Nở nang mày mặt rỡ ràng mẹ cha.	𦬑囊𠋥󰘚焒𠒥媄吒
2488	6	Trên vì nước dưới vì nhà,	𨕭爲渃󰡎爲茹
2489	8	Một là đắc hiếu hai là đắc trung.	𠬠󰑼得孝𠄩󰑼得忠
2490	6	Chẳng hơn chiếc bách giữa dòng,	󰝸欣隻栢𫡉𣳔
2491	8	E dè sóng gió hãi hùng cỏ hoa.	𠲖提㳥𫗄駭䧺𦹵花
2492	6	Nhân khi bàn bạc gần xa,	因欺盘萡𧵆賒
2493	8	Thừa cơ nàng mới bàn ra nói vào.	乘机娘買盘𦋦呐𠓨
2494	8	Rằng: “ TRONG thánh ĐẾ dồi dào,	浪𥪝圣帝𣼭󰠢
2495	8	"""Tưới ra đã khắp thấm vào đã sâu."	洒𦋦㐌泣渗𠓨㐌溇
2496	6	"""Bình thành công đức bấy lâu,"	平成功德闭𥹰
2497	8	“Ai ai cũng đội trên đầu BIẾT bao.	埃埃拱隊𨕭頭別包
2498	6	"""ngẫm từ dấy việc binh đao,"	𡄎自𧻭𭛣兵刀
2499	8	"""Đống xương Vô Định đã cao bằng đầu."	埬𩩫󰟁定㐌高平頭
2500	6	"""Làm chi để tiếng về sau,"	爫之抵㗂󰡲𨍦
2501	8	“Nghìn năm ai có khen đâu HOÀNG Sào!	𠦳𢆥埃󰡏𠸦󰠲亥巢
2502	6	"""Sao bằng lộc trọng quyền cao,"	牢平祿重權高
2503	8	“Công danh ai DẮT lối nào cho qua?”	功名埃𢴑𨇒芇朱戈
2504	6	Nghe lời nàng nói mặn mà,	𦖑𠳒娘呐𠼦麻
2505	8	Thế công Từ mới trở ra thế HÀNG .	󰟨攻徐買阻𦋦世長
2506	6	Chỉnh nghi tiếp sứ vội vàng,	整󰀩接使倍傍
2507	8	Hẹn kỳ thúc giáp quyết đường giải binh.	限期束甲决塘觧兵
2508	6	Tin lời thành hạ yêu minh,	信𠳒城下要盟
2509	8	Ngọn cờ ngơ ngác trống canh trễ tràng.	𦰟旗󰡣咢𫪹更雉長
2510	6	Việc BINH bỏ chẳng giữ giàng,	𭛣矢補庄𪧚床
2511	8	Vương sư dòm đã tỏ tường thực hư.	王師𥉰㐌訴詳实虚
2512	6	Hồ công quyết kế thừa cơ,	胡公决计乘机
2513	8	Lễ tiên binh hậu khắc cờ tập công.	礼先兵後刻期裏攻
2514	6	Kéo cờ chiêu phủ tiên phong,	矫旗招府先峰
2515	8	Lễ nghi dàn trước bác đồng phục sau.	礼󰀩攔畧搏銅伏娄
2516	6	Từ công hờ hững biết đâu?	徐公哬𠾿別󰠲
2517	8	Đại quan lễ phục ra đầu cửa viên.	大官礼服𦋦頭㪯轅
2518	6	Hồ công ám hiệu trận tiền,	胡公暗号陣前
2519	8	Ba bề phát súng bốn bên kéo cờ.	𠀧皮發銃𦊚边矯旗
2520	6	Đang khi bất ý chẳng ngờ,	登欺不意庄𪟽
2521	8	Hùm thiêng khi đã sa cơ cũng hèn.	𤞻𤍌欺㐌沙机拱𪬡
2522	6	Tử sinh liều giữa trận tiền,	死生料𡨌陣前
2523	8	Dạn dày cho biết gan liền tướng QUÂN .	弹苔朱別肝連將軍
2524	6	Khí thiêng khi đã về thần,	氣𤍌欺㐌󰡲神
2525	8	Nhơn nhơn còn đứng chôn chân giữa VÒNG .	然然群𨅸墫蹎𠓨𫒥
2526	6	Trơ như đá vững như đồng,	猪如𥒥凭如銅
2527	8	Ai lay chẳng chuyển ai rung chẳng rời.	埃𢯦庄轉埃𢫝庄移
2528	6	Quan QUÂN truy sát ĐUỔI dài,	官軍追殺-𨱽
2529	8	Ù Ù sát khí ngất trời ai đang.	𠶑𠶑殺氣𩁶𡗶埃󰎒
2530	6	Trong hào ngoài luỹ tan hoang,	冲壕外壘散塃
2531	8	Loạn quân vừa dắt tay nàng đến nơi,	乱軍皮𢴑𢬣娘旦尼
2532	6	Trong vòng tên đá bời bời,	冲妄𥏌𥒥排排
2533	8	Thấy Từ còn đứng giữa trời trơ trơ.	体徐群𨅸𡨌𡗶猪猪
2534	6	"Khóc rằng: ""Trí dũng có thừa,"	哭浪智勇󰡏乘
2535	8	"""Bởi nghe lời thiếp đến cơ hội này!"	𪽝𦖑𠳒妾旦机会尼
2536	6	"""Mặt nào trông thấy nhau đây?"	󰘚芇𬂙体饒低
2537	8	“ THÈ liều sống CHẾT một ngày với nhau.”	時料𤯩𣨰𠬠𣈜貝僥
2538	6	Dòng thu như XỐI cơn sầu,	𣳔秋如󰋞干愁
2539	8	Dứt lời nàng cũng gieo đầu một bên.	𢴑𠳒娘拱招頭𠬠边
2540	6	Lạ thay oan khí tương triền!	𨔍台寃氣相纏
2541	8	Nàng vừa phục xuống Từ liền ngã ra.	娘皮伏下徐連我𦋦
2542	6	Quan quân kẻ lại người qua,	官軍几吏㝵戈
2543	8	Xót nàng sẽ lại vực ra dần dần.	㤕娘仕吏域𦋦寅寅
2544	6	Đem vào đến trước trung quân,	󰝂𠓨旦畧中軍
2545	8	Hồ công thấy mặt ân cần hỏi han.	胡公体󰘚慇懃𠳨嘆
2546	6	"Rằng: ""Nàng chút phận hồng nhan,"	浪娘𫵀分紅顔
2547	8	Gặp cơn binh cách nhiều nàn cũng thương.	及干兵革𡗉𮥷拱傷
2548	6	Đã hay thành toán miếu đường,	㐌台成筭庙堂
2549	8	Giúp công cũng có lời nàng mới nên.	𢩾功拱󰡏𠳒娘買𢧚
2550	6	"""Bây giờ sự đã vẹn tuyền,"	碑徐事㐌萬全
2551	8	“Mặc lòng nghĩ ĐÓ muốn xin bề nào.”	默𢚸議妬悶嗔皮芇
2552	8	Nàng càng NHỎ ngọc TUÔN DÀO ,	娘強𥮊玉𣻆𩆋
2553	8	Ngập ngừng mới gởi thấp cao sự lòng.	吸󰡤買𠳚湿高事𢚸
2554	6	"Rằng: ""Từ là đấng anh hùng,"	浪徐󰑼𨅸𮎦䧺
2555	8	"""Dọc ngang trời rộng vẫy vùng bể khơi."	育昂𡗶𢌌尾漨𣷭𣾺
2556	6	Tin tôi nên quá nghe lời,	信碎𢧚过𦖑𠳒
2557	8	ĐƯA thân bách chiến làm tôi triều đình.	迻身百戰爫碎朝庭
2558	6	"""Ngỡ là phu quí phụ vinh,"	語󰑼夫貴婦荣
2559	8	"""Ai ngờ một phút tan tành thịt xương!"	埃𪟽𠬠丿散情𦧘昌
2560	6	"""Năm năm trời bể ngang tàng."	𠄼𢆥𡗶𣷭昂藏
2561	8	ĐEM mình đi bỏ chiến trường như không.	󰝂𠇮𠫾補戰場如空
2562	6	Khéo khuyên kể lấy làm công,	窖勸計𥙩爫功
2563	8	"""Kể bao nhiêu lại đau lòng bấy nhiêu!"	計包饒吏𤴬𢚸闭饒
2564	6	"""Xét mình công ít tội nhiều,"	察𠇮功𠃣罪𡗉
2565	8	"""Sống thừa tôi đã nên liều mình tôi."	𤯩乘碎㐌𢧚料𠇮碎
2566	6	"""Xin cho thiển thổ một doi,"	嗔朱浅土𠬠堆
2567	8	“Gọi là đắp ĐỂ lấy người tử sinh.”	哙󰑼答底𥙩㝵死生
2568	6	Hồ công nghe nói thương tình,	胡公𦖑呐傷情
2569	8	Truyền cho kiểu táng di hình bên sông.	傳朱藁葬遺形边滝
2570	6	Trong quân mở tiệc hạ công,	冲軍𨷑席賀功
2571	8	Xôn xao tơ trúc hội đồng quân quan.	𠮿嗃絲竹会同軍官
2572	6	Bắt nàng thị yến dưới màn,	扒娘侍晏󰡎幔
2573	8	Dở say lại ép VẶN đàn nhặt tâu.	󰇥醝吏押紊弹日奏
2574	6	Một cung gió TỦI mưa sầu,	𠬠宮𫗄悴湄愁
2575	8	Bốn CUNG NHỎ máu năm đầu ngón tay.	𦊚宮㳶𧖱𠄼頭𦰟𢬣
2576	6	Ve ngâm vượn hót nào tầy,	蟡吟猿唿芇󰟴
2577	8	Lọt tai Hồ cũng nhăn mày rơi châu.	律𦖻胡拱𤶑眉淶珠
2578	6	"Hỏi rằng: ""Này khúc ở đâu?"	𠳨浪尼曲扵󰠲
2579	8	"""Nghe ra muôn oán nghìn sầu lắm thay!"""	𦖑𦋦𬮙怨𠦳愁𡗋台
2580	6	Thưa rằng: “Bạc PHẬN khúc này,	䜹浪萡分曲尼
2581	8	"""Phổ vào đàn ấy những ngày còn thơ."	譜𠓨弹󰀎仍𣈜群𦭟
2582	6	"""Cung đàn lựa những ngày xưa."	宮弹𢫘仍𣈜初
2583	8	"""Mà gương bạc mệnh bây giờ là đây!"""	麻𦎛萡𠇮悲除󰑼低
2584	6	Nghe càng đắm ĐẮM càng say,	𦖑強󰠐󰠐強醝
2585	8	Lạ cho mặt sắt cũng ngây vì tình!	𨔍朱󰘚铁拱𬏝爲情
2586	6	"Dạy rằng: ""Hương lửa ba sinh."	𠰺浪香火𠀧生
2587	8	"""Dây loan xin nối cầm lành cho ai."""	𦀊鸞嗔綏琹冷朱埃
2588	6	"Thưa rằng: ""xót phận lạc loài."	䜹浪㤕分落𩑛
2589	8	"""Trong mình nghĩ đã có người thác oan."	𥪞𠇮𢪀㐌󰡏㝵托寃
2590	6	"""Còn chi nữa cánh hoa tàn,"	群之女𦑃花殘
2591	8	"""Tơ lòng đã dứt dây đàn Tiểu Lân."	絲𢚸㐌𢴑𦀊弹小憐
2592	6	“Rộng CHO còn mảnh hồng quần,	𢌌朱群𤗖紅裙
2593	8	"""Hơi tàn được thấy gốc phần là may."""	唏殘特体㭲枌󰑼埋
2594	6	Hạ công chén đã quá say,	賀功𡃹㐌过醝
2595	8	Hồ công đến lúc rạng ngày nhớ ra.	胡公旦六𠓇𣈜𢖵𦋦
2596	6	Nghĩ mình phương diện quốc gia,	𢪀𠇮方靣国家
2597	8	Quan trên nhắm xuống người ta trông vào.	官𨕭𥄮𫴋𠊛些𬂙𠓨
2598	6	Phải tuồng trăng gió hay sao.	沛從𦝄𫗄咍牢
2599	8	Sự này biết tính thế nào được đây?	事尼別併世芇特低
2600	6	TẢO nha vừa buổi sáng ngày,	早衙皮𣇜𠓇𣈜
2601	8	Quyết tình CÔNG mới đoán ngay một bài.	决情公買断𣦍𠬠排
2602	6	Lệnh quan ai dám HAN lời,	令官埃敢嘆𠳒
2603	8	Ép tình LÀ gán cho người thổ quan.	押情買擀朱㝵土官
2604	6	Ông tơ thật nhẽ đa đoan!	𪪳絲实𠰚𥒥端
2605	8	Xe tơ CHỬA khéo: vơ CÀN vơ xiên!	車絲渚󱋙撝乾撝千
2606	6	Kiệu hoa áp thẳng xuống thuyền,	󰖛花押𬆅𫴋船
2607	8	Lá màn rủ thấp ngọn đèn khêu cao.	𦲿幔𢷀湿𦰟畑挑高
2608	6	Nàng càng ủ liễu phai đào,	娘強塢柳派桃
2609	8	Trăm phần nào có phần nào phần tươi?	𤾓分芇󰡏分芇分鮮
2610	6	Đành thân cát DẬP sóng vùi,	停身吉拉㳥𣼯
2611	8	Cướp công cha mẹ thiệt đời thông minh.	刼功吒媄舌𠁀聰明
2612	6	Chân trời mặt biển lênh đênh,	蹎𡗶󰘚𣷭泠汀
2613	8	Nắm xương biết gửi tử sinh chốn nào?	埝昌別改死生准芇
2614	6	Duyên đâu ai dứt tơ đào,	緣󰠲埃𢴑絲桃
2615	8	Nợ đâu ai đã dắt vào TẠN tay?	女󰠲埃㐌𢴑𠓨羡𢬣
2616	6	Thân sao thân đến thế này?	身牢身旦势尼
2617	8	Còn ngày nào cũng dư ngày ấy thôi.	群𣈜芇拱餘𣈜𧘇催
2618	6	Đã không biết sống là vui,	㐌空別𤯩󰑼𢝙
2619	8	Hoài thân nào biết thiệt thòi là thương.	𢙇身芇別舌催󰑼傷
2620	6	Một mình cay đắng trăm đường,	󰓳𠇮荄䔲𤾓塘
2621	8	Thôi thì nát ngọc tan vàng thì thôi.	催時󰞺玉散鐄時催
2622	6	Mảnh GƯƠNG đã NGẬM non đoài,	󰡟𦎛㐌唅𡽫兑
2623	8	Một mình luống những đứng ngồi chưa xong.	𠬠𠇮𨻫仍𨅸𡎢渚衝
2624	6	Triều đâu nổi tiếng đùng đùng,	潮󰠲浽㗂同同
2625	8	Hỏi ra mới biết rằng sông Tiền Đường,	𠳨𦋦買別浪滝钱塘
2626	6	Nhớ lời thần mộng rõ ràng,	𢖵𠳒神夢𤑟𤉜
2627	8	Này thôi hết kiếp đoạn trường là đây!	尼催歇刼断膓󰑼低
2628	6	“Đạm Tiên nàng NHẼ CHO hay!	淡仙娘𠰚朱咍
2629	8	“Hẹn ta thì đợi DƯỚI này rước ta.”	限些時待𫴋尼逴些
2630	6	Dưới đèn sẵn bức tiên hoa,	󰡎畑産幅笺花
2631	8	Một thiên tuyệt bút gọi là để sau.	𠬠篇絶笔哙󰑼底𨍦
2632	6	Cửa bồng vội THÁC rèm châu,	𫔳蓬倍托簾珠
2633	8	Trời cao BỂ rộng một màu bao la.	𡗶高𣷭弄蔑牟包󰑼
2634	6	"Rằng: ""Từ Công hậu đãi ta,"	浪徐公厚待些
2635	8	"""Chút vì việc nước mà ra phụ lòng."	𡮍爲𭛣渃麻𦋦負𢚸
2636	6	"""Giết chồng mà lại lấy chồng,"	折𫯳麻吏𥙩𫯳
2637	8	“Mặt nào MÀ LẠI ĐỨNG trong cõi đời?	󰘚芇麻吏𨅸𥪝𡎝𠁀
2638	6	“Thôi thì một THÁC cho rồi,	催時𠬠托朱耒
2639	8	"""Tấm lòng phó mặc trên trời, dưới sông."""	󰌺𢚸付默𨕭𡗶󰡎滝
2640	6	Trông vời con nước mênh mông,	𬂙潙昆渃溟濛
2641	8	Đem mình gieo xuống giữa dòng trường giang.	󰝂𠇮招𫴋𡨌𣳔長江
2642	6	Thổ quan theo vớt vội vàng,	土官蹺𣾼倍鐄
2643	8	Thì đà đắm ngọc chìm hương ĐÃ rồi.	時它󰋖玉沉香㐌耒
2644	6	Thương thay cũng một THÂN người,	傷台拱𠬠身㝵
2645	8	Hại thay mang lấy sắc tài làm chi!	窖台恾𥙩色才爫之
2646	6	Những là oan khổ lưu ly,	仍󰑼寃苦流󰡞
2647	8	Chờ cho hết kiếp còn gì là thân!	除朱歇刼群之󰑼身
2648	6	Mười lăm năm bấy nhiêu lần,	𨑮𠄻𢆥闭饒吝
2649	8	Làm gương cho khách hồng quần thử soi!	爫𦎛朱客紅裙此𤐝
2650	6	Đời người đến thế thì thôi,	𠁀㝵旦势時催
2651	8	Trong cơ ÂM CỰC DƯƠNG HỒI khôn hay.	𥪝机陽極陰回坤台
2652	6	Mấy người VÌ nghĩa xưa nay,	󰋇㝵為󰒂初󰅒
2653	8	Trời làm chi đến LÂU ngày càng thương!	𡗶爫之旦𥹰𣈜強傷
2654	6	Giác Duyên từ tiết giã nàng,	𮗓緣自節啫娘
2655	8	TREO bầu quảy níp rộng đường vân du.	撩䕯掛𫌇𢌌塘雲遊
2656	6	Gặp bà Tam Hợp đạo cô,	及妑三合道姑
2657	8	Thong dong hỏi hết nhỏ to sự nàng:	從容𠳨歇𡮈蘇事娘
2658	6	"""Người sao hiếu nghĩa đủ đường,"	㝵牢孝󰒂覩塘
2659	8	"""Kiếp sao rặt những đoạn trường thế thôi?"""	刼牢秩仍断膓世催
2660	6	"Sư rằng: ""Phúc hoạ đạo trời,"	師浪福禍道𡗶
2661	8	"""Cỗi nguồn cũng ở lòng người mà ra."	桧源拱扵𢚸㝵麻𦋦
2662	6	"""Có trời mà cũng tại ta,"	固𡗶麻拱在些
2663	8	"""Tu là cỗi phúc tình là dây oan."	修󰑼桧福情󰑼𦀊寃
2664	6	"""Thuý Kiều sắo sảo khôn ngoan,"	翠翹色稍坤頑
2665	8	"""Vô duyên là phận hồng nhan đã đành."	󰟁緣󰑼分紅顔㐌停
2666	6	"""Lại mang lấy một chữ tình,"	吏恾𥙩𠬠𡦂情
2667	8	"""Khư khư mình buộc lấy mình vào trong."	墟墟𠇮𢯜𥙩𠇮𠓨冲
2668	6	“Vậy nên những CHỐN thong dong,	丕𢧚仍准從容
2669	8	"""Ở không yên ổn ngồi không vững vàng."	扵空安稳𡎢空凭鐄
2670	6	“Ma GIỦI lối quỷ đem đường,	麻󰈆𨇒鬼󰝡塘
2671	8	“Lại tìm những CHỐN đoạn trường mà đi.	吏尋仍性断膓麻𠫾
2672	6	"""Hết nan ấy đến nạn kia,"	歇𮥷意旦𮥷箕
2673	8	"""Thanh lâu hai lượt thanh y hai lần."	青楼𠄩𦀎青衣𠄩吝
2674	6	"""giữa vòng giáo dựng gươm trần,"	𡧲妄槊鄧鎌陳
2675	8	"""Kề răng hùm sói gửi thân tôi đòi."	掑𪘵𤞻𤢿改身碎隊
2676	6	“Giữa VÒNG nước dẫy sóng giồi,	𡨌妄渃𣲆㳥𣼭
2677	8	“Trước hàm rồng cá gieo MỒI thủy tinh.	畧頷𧏵󰠩招𠇮水星
2678	6	"""Oan kia theo mãi với tình,"	寃箕蹺買貝情
2679	8	"""Một mình mình biết một mình mình hay."	𠬠𠇮𠇮別𠬠𠇮𠇮咍
2680	8	“ LÀM CHO sống đoạ thác đày,	朱爫𤯩墮托苔
2681	8	"""Đoạn trường cho hết kiếp này mới thôi."""	断膓朱歇刼尼買催
2682	6	Giác Duyên nghe nói rụng rời:	𮗓緣𦖑呐𣳔涞
2683	8	"""Một đời nàng nhẽ thương ôi còn gì!"""	𠬠𠁀娘𠰚傷喂群之
2684	6	"Sư rằng: ""Song chẳng hề chi,"	師浪双󰝸兮之
2685	8	"""Nghiệp duyên cân lại nhắc đi còn nhiều."	業緣斤吏𢩮𠫾群𡗉
2686	6	"""Xét trong tội nghiệp Thuý Kiều,"	察𥪝罪業翠翹
2687	8	"""Mắc điều tình ái khỏi điều tà dâm."	默調情爱塊調邪淫
2688	8	“Lấy tình thâm GIẢ TÌNH thâm ,	𥙩情深者情深
2689	8	"""Bán mình đã động hiếu tâm đến trời."	半𠇮㐌動孝心旦𡗶
2690	6	“Hại một người cứu MUÔN người,	害𠬠㝵救𠬠㝵
2691	8	Biết đường khinh trọng biết lời phải chăng.	別塘轻重別𠳒沛庄
2692	6	"""Thửa công đức ấy ai bằng?"	所功󰆙󰀎埃平
2693	8	"""Túc khiên đã rửa lâng lâng sạch rồi."	夙愆㐌𣳮凌凌泟耒
2694	6	"""Khi nên trời cũng chiều người,"	欺𢧚𡗶拱朝㝵
2695	8	"""Nhẹ nhàng nợ trước đền bồi duyên sau."	珥讓女畧填倍緣娄
2696	6	"""Giác Duyên dù nhớ nghĩa nhau,"	𮗓緣油𢖵󰒂饒
2697	8	“Tiền Đường THẢ một BÈ lau rước người.	钱塘旦𠬠𥯤𦰤逴㝵
2698	6	"""Trước sau cho vẹn một lời,"	畧娄朱院𠬠𠳒
2699	8	"""Duyên ta mà cũng phúc trời chi không!"""	緣些麻拱福𡗶之空
2700	6	Giác Duyên nghe nói mừng lòng,	𮗓緣𦖑呐𢜠𢚸
2701	8	Lân la tìm thú bên sông Tiền Đường.	𡑝󰑼尋趣边滝钱塘
2702	6	Đánh tranh chụm nóc thảo đường,	打棦笘𧂭草堂
2703	8	Một gian nước biếc mây vàng chia đôi.	蔑間渃碧𫡮鐄支堆
2704	6	Thuê năm ngư phủ hai người,	𠾔𢆥鱼父𠄩㝵
