page,status,reasons,ar,marker_in,pagenum_in,flipped,left,right,W,H
page_0066,PASS,-,0.589,0,0,0,0.0001,0.0026,1140,1828
page_0068,PASS,-,0.628,0,0,0,0.0,0.0,1172,1849
page_0070,PASS,-,0.579,0,0,0,0.0,0.0098,1154,1838
page_0072,PASS,-,0.569,0,0,0,0.0,0.0,1211,1876
page_0074,PASS,-,0.597,0,0,0,0.0,0.0113,1140,1828
page_0076,PASS,-,0.66,0,0,0,0.0,0.0,1162,1842
page_0078,PASS,-,0.595,0,0,0,0.0,0.0011,1154,1838
page_0080,PASS,-,0.61,0,0,0,0.0001,0.0,1140,1828
page_0082,PASS,-,0.572,0,0,0,0.0003,0.0002,1158,1840
page_0084,PASS,-,0.62,0,0,0,0.0,0.0,1133,1824
page_0086,PASS,-,0.622,0,0,0,0.0,0.0,1130,1822
page_0088,PASS,-,0.625,0,0,0,0.0,0.0,1130,1822
page_0090,PASS,-,0.579,0,0,0,0.0,0.0001,1211,1876
page_0092,PASS,-,0.589,0,0,0,0.0,0.0,1162,1842
page_0094,PASS,-,0.623,0,0,0,0.0,0.0,1133,1824
page_0096,PASS,-,0.607,0,0,0,0.0001,0.0002,1137,1826
page_0098,PASS,-,0.628,0,0,0,0.0,0.0,1133,1824
page_0100,PASS,-,0.598,0,0,0,0.0,0.0,1144,1831
page_0102,PASS,-,0.613,0,0,0,0.0,0.0001,1133,1824
page_0104,PASS,-,0.6,0,0,0,0.0001,0.0,1137,1826
